"index","client_id","age","job","marital","education","credit_default","mortgage","month","day","contact_duration","number_contacts","previous_campaign_contacts","previous_outcome","cons_price_idx","euribor_three_months","campaign_outcome","last_contact_date"
"0","0","56","housemaid","married","basic_4y","False","False","may","13","261","1","0","False","93.994","4.857","False","2022-05-13T00:00:00.000"
"1","1","57","services","married","high_school","False","False","may","19","149","1","0","False","93.994","4.857","False","2022-05-19T00:00:00.000"
"2","2","37","services","married","high_school","False","True","may","23","226","1","0","False","93.994","4.857","False","2022-05-23T00:00:00.000"
"3","3","40","admin_","married","basic_6y","False","False","may","27","151","1","0","False","93.994","4.857","False","2022-05-27T00:00:00.000"
"4","4","56","services","married","high_school","False","False","may","3","307","1","0","False","93.994","4.857","False","2022-05-03T00:00:00.000"
"5","5","45","services","married","basic_9y","False","False","may","5","198","1","0","False","93.994","4.857","False","2022-05-05T00:00:00.000"
"6","6","59","admin_","married","professional_course","False","False","may","3","139","1","0","False","93.994","4.857","False","2022-05-03T00:00:00.000"
"7","7","41","blue-collar","married","null","False","False","may","12","217","1","0","False","93.994","4.857","False","2022-05-12T00:00:00.000"
"8","8","24","technician","single","professional_course","False","True","may","21","380","1","0","False","93.994","4.857","False","2022-05-21T00:00:00.000"
"9","9","25","services","single","high_school","False","True","may","5","50","1","0","False","93.994","4.857","False","2022-05-05T00:00:00.000"
"10","10","41","blue-collar","married","null","False","False","may","8","55","1","0","False","93.994","4.857","False","2022-05-08T00:00:00.000"
"11","11","25","services","single","high_school","False","True","may","9","222","1","0","False","93.994","4.857","False","2022-05-09T00:00:00.000"
"12","12","29","blue-collar","single","high_school","False","False","may","29","137","1","0","False","93.994","4.857","False","2022-05-29T00:00:00.000"
"13","13","57","housemaid","divorced","basic_4y","False","True","may","14","293","1","0","False","93.994","4.857","False","2022-05-14T00:00:00.000"
"14","14","35","blue-collar","married","basic_6y","False","True","may","29","146","1","0","False","93.994","4.857","False","2022-05-29T00:00:00.000"
"15","15","54","retired","married","basic_9y","False","True","may","29","174","1","0","False","93.994","4.857","False","2022-05-29T00:00:00.000"
"16","16","35","blue-collar","married","basic_6y","False","True","may","1","312","1","0","False","93.994","4.857","False","2022-05-01T00:00:00.000"
"17","17","46","blue-collar","married","basic_6y","False","True","may","9","440","1","0","False","93.994","4.857","False","2022-05-09T00:00:00.000"
